record_id,point_id,observed_at,effective_at,updated_at,laeq,l10,l50,l90,lmin,lmax,fs,shidu,qw,sd,yl,qy
D51AB493-B51B-4038-8397-F1ED39A92C06,310104320001,2021-01-01T00:00:00+08:00,2025-07-14T08:04:13+08:00,2025-07-14T08:04:13+08:00,46.9143,48.4654,46.3643,45.693,40.0,62.4,0.3275,50.276,-1.7237,0.7462,0.0,1030.5974
DAD61142-74B3-4E95-8080-B748B60D6230,310104320001,2021-01-02T00:00:00+08:00,2025-07-14T08:04:18+08:00,2025-07-14T08:04:18+08:00,49.4838,51.7038,48.6501,47.3041,43.7,68.2,0.6979,44.8338,4.5391,0.924,0.0,1028.6512
E6CD9623-E690-4A8C-974F-1ACD6135533E,310104330002,2021-01-02T00:00:00+08:00,2025-07-14T08:04:25+08:00,2025-07-14T08:04:25+08:00,59.1921,60.7044,58.7407,57.7723,52.5,79.7,0.7272,42.8848,4.8788,1.7886,0.0,1028.1782
E9D5977A-7DBF-4CA9-A666-4AFB7550FF5E,310104320001,2021-01-03T00:00:00+08:00,2025-07-14T08:04:27+08:00,2025-07-14T08:04:27+08:00,47.0682,48.2335,46.7096,46.1028,42.6,60.6,0.3677,79.8269,3.1502,0.6591,0.0,1029.6838
FEB6BCCD-900A-4DF6-B89D-07CF1291DDE7,310104340004,2021-01-03T00:00:00+08:00,2025-07-14T08:04:39+08:00,2025-07-14T08:04:39+08:00,56.3078,56.994,56.1166,55.7681,49.9,71.7,0.7882,72.1231,4.7609,1.4305,0.0,1028.5791
C8DB2B0E-01DD-43F0-A6D6-130D6894CFA0,310104320001,2021-01-04T00:00:00+08:00,2025-07-14T08:04:02+08:00,2025-07-14T08:04:02+08:00,46.5916,47.7941,46.2406,45.5793,43.3,59.7,0.7659,69.8193,8.3653,1.054,0.0,1027.5825
FB243C71-666C-431F-B3BD-A0E702713904,310104330002,2021-01-04T00:00:00+08:00,2025-07-14T08:04:37+08:00,2025-07-14T08:04:37+08:00,61.0509,62.5114,60.6953,59.6905,53.5,76.8,0.834,65.257,10.2156,2.4436,0.0367,1025.4628
BECC348A-CC15-404D-9D3B-8697423D0C5D,310104320001,2021-01-05T00:00:00+08:00,2025-07-14T08:03:54+08:00,2025-07-14T08:03:54+08:00,46.4998,47.8474,46.127,45.3419,40.9,63.9,1.0528,66.2611,7.4713,1.5769,0.0,1027.0296
B39E63C1-5B98-454C-9CE9-CF8A397A9794,310104330002,2021-01-05T00:00:00+08:00,2025-07-14T08:03:47+08:00,2025-07-14T08:03:47+08:00,60.3957,61.6222,60.1362,59.2274,53.4,71.4,1.7589,60.0327,7.4301,1.8323,0.0,1027.6275
E8E8AC1C-1798-47C1-AE2F-45680E06E4C4,310104320001,2021-01-06T00:00:00+08:00,2025-07-14T08:04:26+08:00,2025-07-14T08:04:26+08:00,52.4044,53.8856,52.0534,50.9726,45.0,67.0,0.7754,49.4876,4.3619,1.8389,0.0,1026.9097
EC1A05D4-C677-4067-8B08-98880476E5D8,310104330002,2021-01-06T00:00:00+08:00,2025-07-14T08:04:28+08:00,2025-07-14T08:04:28+08:00,54.9326,55.8297,54.7589,54.1683,51.2,66.2,1.3442,54.4822,3.9786,0.525,0.0,1028.1656
DD94E86E-634A-497B-B893-483768C2BB32,310104340004,2021-01-06T00:00:00+08:00,2025-07-14T08:04:19+08:00,2025-07-14T08:04:19+08:00,59.8116,60.8812,59.4428,59.0021,47.9,77.2,1.1034,49.01,4.4858,2.9191,0.0,1025.7837
EBEB91F6-1584-49C1-96C4-0EADE6EBB41F,310104320001,2021-01-07T00:00:00+08:00,2025-07-14T08:04:28+08:00,2025-07-14T08:04:28+08:00,49.3192,51.0445,48.827,47.6477,43.3,69.5,1.2826,44.4684,-1.4932,1.0561,0.0,1031.8525
EE18C5AD-769A-4C7A-A4D9-75E2AB924DF1,310104320001,2021-01-08T00:00:00+08:00,2025-07-14T08:04:29+08:00,2025-07-14T08:04:29+08:00,49.0998,50.349,48.7625,48.083,44.0,61.3,0.7935,31.2352,-5.8447,0.3766,0.0,1032.5594
F03E0CB5-3218-49D5-AD72-01010419DE7B,310104340004,2021-01-08T00:00:00+08:00,2025-07-14T08:04:30+08:00,2025-07-14T08:04:30+08:00,62.9528,65.1592,61.0227,60.4186,46.0,89.8,1.4707,25.5724,-2.9768,4.6303,0.0,1029.9269
B5E58351-E5E4-4DBA-99C9-DCF3E4545297,310104320001,2021-01-09T00:00:00+08:00,2025-07-14T08:03:49+08:00,2025-07-14T08:03:49+08:00,50.4431,52.404,49.8358,48.5082,43.3,67.8,0.5869,25.7558,0.8239,1.4727,0.0,1029.2007
E7B1EDCB-125C-4A55-AFAE-3619AA01D5F8,310104330002,2021-01-09T00:00:00+08:00,2025-07-14T08:04:26+08:00,2025-07-14T08:04:26+08:00,51.4627,52.7804,51.0971,50.5388,49.2,62.5,0.5752,37.9311,-2.9124,0.5984,0.0,1029.3179
FF9ED9B5-203D-4A8A-9645-524819679C48,310104320001,2021-01-10T00:00:00+08:00,2025-07-14T08:04:40+08:00,2025-07-14T08:04:40+08:00,46.2301,47.5009,45.8553,45.1619,40.6,60.6,0.2439,44.0396,-0.7978,0.6912,0.0,1029.834
D6EFF368-1141-442D-99E4-822E7F4D2DCA,310104330002,2021-01-11T00:00:00+08:00,2025-07-14T08:04:15+08:00,2025-07-14T08:04:15+08:00,52.9398,54.1802,52.6143,52.0155,49.3,64.7,0.529,40.5673,1.1825,0.7398,0.0,1028.584
