case_id,origin_type,origin_name,origin_lng_gcj02,origin_lat_gcj02,origin_lng_wgs84,origin_lat_wgs84,target_entry_id,access_mode,distance_m,duration_s,navigation_api,risk_note
XH_ACCESS_0001,home,徐家汇站,121.4388,31.1955,121.434187,31.197381,XH_ENT_0001,walk,1070,1070,amap.direction.ready,接驳段仅记录距离和时间，环境风险评分后续接入。
XH_ACCESS_0002,school,上海交通大学徐汇校区,121.433,31.2015,121.428376,31.20337,XH_ENT_0002,walk,1490,1490,amap.direction.ready,接驳段仅记录距离和时间，环境风险评分后续接入。
XH_ACCESS_0003,office,漕河泾办公区,121.4106,31.1705,121.405956,31.172366,XH_ENT_0003,bike,1910,636,amap.direction.ready,接驳段仅记录距离和时间，环境风险评分后续接入。
XH_ACCESS_0004,metro,龙耀路站,121.4598,31.1592,121.455241,31.161142,XH_ENT_0004,walk,2330,2330,amap.direction.ready,接驳段仅记录距离和时间，环境风险评分后续接入。
XH_ACCESS_0005,current,衡山路站,121.446,31.205,121.441401,31.206889,XH_ENT_0005,walk,2750,2750,amap.direction.ready,接驳段仅记录距离和时间，环境风险评分后续接入。
XH_ACCESS_0006,home,徐家汇站,121.4388,31.1955,121.434187,31.197381,XH_ENT_0006,walk,3170,3170,amap.direction.ready,接驳段仅记录距离和时间，环境风险评分后续接入。
XH_ACCESS_0007,school,上海交通大学徐汇校区,121.433,31.2015,121.428376,31.20337,XH_ENT_0007,walk,650,650,amap.direction.ready,接驳段仅记录距离和时间，环境风险评分后续接入。
XH_ACCESS_0008,office,漕河泾办公区,121.4106,31.1705,121.405956,31.172366,XH_ENT_0008,bike,1070,356,amap.direction.ready,接驳段仅记录距离和时间，环境风险评分后续接入。
XH_ACCESS_0009,metro,龙耀路站,121.4598,31.1592,121.455241,31.161142,XH_ENT_0009,walk,1490,1490,amap.direction.ready,接驳段仅记录距离和时间，环境风险评分后续接入。
XH_ACCESS_0010,current,衡山路站,121.446,31.205,121.441401,31.206889,XH_ENT_0010,walk,1910,1910,amap.direction.ready,接驳段仅记录距离和时间，环境风险评分后续接入。
XH_ACCESS_0011,home,徐家汇站,121.4388,31.1955,121.434187,31.197381,XH_ENT_0001,walk,2330,2330,amap.direction.ready,接驳段仅记录距离和时间，环境风险评分后续接入。
XH_ACCESS_0012,school,上海交通大学徐汇校区,121.433,31.2015,121.428376,31.20337,XH_ENT_0002,walk,2750,2750,amap.direction.ready,接驳段仅记录距离和时间，环境风险评分后续接入。
XH_ACCESS_0013,office,漕河泾办公区,121.4106,31.1705,121.405956,31.172366,XH_ENT_0003,bike,3170,1056,amap.direction.ready,接驳段仅记录距离和时间，环境风险评分后续接入。
XH_ACCESS_0014,metro,龙耀路站,121.4598,31.1592,121.455241,31.161142,XH_ENT_0004,walk,650,650,amap.direction.ready,接驳段仅记录距离和时间，环境风险评分后续接入。
XH_ACCESS_0015,current,衡山路站,121.446,31.205,121.441401,31.206889,XH_ENT_0005,walk,1070,1070,amap.direction.ready,接驳段仅记录距离和时间，环境风险评分后续接入。
