"index","title","year","doi","landing_url","container","pdf_url","pdf_file","status","source","error"
"1","Health-optimal routing in pedestrian navigation services","2012","10.1145/2452516.2452518","https://doi.org/10.1145/2452516.2452518","Proceedings of the First ACM SIGSPATIAL International Workshop on Use of GIS in Public Health","","D:\SJTU\交大\揭榜挂帅\AI_Scientist\zjx_xuhui_route_papers\pdf\01_Health-optimal routing in pedestrian navigation services.pdf","downloaded_pdf_manual","openalex",""
"2","Computing least air pollution exposure routes","2013","10.1080/13658816.2013.841317","https://doi.org/10.1080/13658816.2013.841317","International Journal of Geographical Information Science","","","no_open_pdf_found","openalex",""
"3","A web-based route planning tool to reduce cyclists' exposures to traffic pollution: A case study in Montreal, Canada","2013","10.1016/j.envres.2013.03.004","https://doi.org/10.1016/j.envres.2013.03.004","Environmental Research","https://www.ovid.com/journals/envres/pdf/10.1016/j.envres.2013.03.004~a-web-based-route-planning-tool-to-reduce-cyclists-exposures","","direct_download_not_pdf","direct_web_search","direct file not valid pdf or too small: 143611 bytes"
"4","Reducing pedestrians' inhalation of traffic-related air pollution through route choices: Case study in California suburb","2018","10.1016/j.jth.2018.06.008","https://doi.org/10.1016/j.jth.2018.06.008","Journal of Transport &amp; Health","https://escholarship.org/content/qt9733c39m/qt9733c39m_noSplash_af9551ceebd8963077ff032bf009443f.pdf?t=ps0b6c","D:\SJTU\交大\揭榜挂帅\AI_Scientist\zjx_xuhui_route_papers\pdf\04_Reducing pedestrians inhalation of traffic-related air pollution through route choices Case study in California suburb.pdf","downloaded_pdf_manual","direct_web_search",""
"5","Healthier routes planning: A new method and online implementation for minimizing air pollution exposure risk","2020","10.1016/j.compenvurbsys.2019.101456","https://doi.org/10.1016/j.compenvurbsys.2019.101456","Computers, Environment and Urban Systems","","D:\SJTU\交大\揭榜挂帅\AI_Scientist\zjx_xuhui_route_papers\pdf\05_Healthier routes planning A new method and online implementation for minimizing air pollution exposure risk.pdf","downloaded_pdf_manual","openalex",""
"6","Route planning for active travel considering air pollution exposure","2022","10.1016/j.trd.2022.103176","https://doi.org/10.1016/j.trd.2022.103176","Transportation Research Part D: Transport and Environment","","D:\SJTU\交大\揭榜挂帅\AI_Scientist\zjx_xuhui_route_papers\pdf\06_Route planning for active travel considering air pollution exposure.pdf","downloaded_pdf_manual","openalex",""
"7","A proper choice of route significantly reduces air pollution exposure — A study on bicycle and bus trips in urban streets","2008","10.1016/j.scitotenv.2007.08.058","https://doi.org/10.1016/j.scitotenv.2007.08.058","Science of The Total Environment","","D:\SJTU\交大\揭榜挂帅\AI_Scientist\zjx_xuhui_route_papers\pdf\07_A proper choice of route significantly reduces air pollution exposure — A study on bicycle and bus trips in urban streets.pdf","downloaded_pdf_manual","openalex",""
"8","Bicycle route preference and pollution inhalation dose: Comparing exposure and distance trade-offs","2016","10.1016/j.jth.2015.12.002","https://doi.org/10.1016/j.jth.2015.12.002","Journal of Transport &amp; Health","https://civil-reactlab.sites.olt.ubc.ca/files/2022/11/Bigazzi_2016_Bicycle-route-preference-and-pollution-inhalation-dose-Comparing-exposure-and-distance-trade-offs.pdf","D:\SJTU\交大\揭榜挂帅\AI_Scientist\zjx_xuhui_route_papers\pdf\08_Bicycle route preference and pollution inhalation dose Comparing exposure and distance trade-offs.pdf","downloaded_pdf","direct_web_search",""
"9","Supporting healthy route choice for commuter cyclists: The trade-off between travel time and pollutant dose","2018","10.1016/j.orhc.2018.04.001","https://doi.org/10.1016/j.orhc.2018.04.001","Operations Research for Health Care","https://eprints.lancs.ac.uk/id/eprint/125230/1/HealthRouteChoiceORHCRevised2.pdf","D:\SJTU\交大\揭榜挂帅\AI_Scientist\zjx_xuhui_route_papers\pdf\09_Supporting healthy route choice for commuter cyclists The trade-off between travel time and pollutant dose.pdf","downloaded_pdf","unpaywall",""
"10","Quantifying the value of a clean ride: How far would you bicycle to avoid exposure to traffic-related air pollution?","2017","10.1016/j.tra.2017.08.017","https://doi.org/10.1016/j.tra.2017.08.017","Transportation Research Part A: Policy and Practice","https://stars.library.ucf.edu/scopus2015/6116","","downloaded_not_pdf_or_too_small","unpaywall","downloaded file is not valid pdf or too small: 34878 bytes"
